"";"TEMPERATURE_C";"SALINITY_PSU";"DO_MGL";"Chlo_A_UGL";"Nitrite_UM";"Nitrate_UM";"Phosphate_UM";"Silicate_UM";"Anomium_UM";"MPS_mg_L";"POC_UMg_L";"PON_UMg_L";"POC_PON";"POC_Chlo";"PROF_DISCO_SECCHI_M";"FICOERITRINA_VOLTS";"CDOM_PPBQSU";"TURBIDEZ_NTU";"MASSA_DAGUA_AIW";"MASSA_DAGUA_AM";"MASSA_DAGUA_CW";"MASSA_DAGUA_NADW";"MASSA_DAGUA_SACW";"MASSA_DAGUA_TW"
"W02";13.67;35.32;6.29;0.2;0.12;12.45;0.96;4.66;0.05;2.92;19.75;2.29;8.63;99.32;22;0.54;0.92;0.44;0;1;0;0;0;0
"W103";23.14;34.63;7.22;4.7;0.35;0.56;0.39;6.61;0.11;5.31;177.24;32.78;5.41;37.7;6;2.29;3.06;0.43;1;0;0;0;0;0
"W106";13.23;35.26;6.69;0.01;0.01;13.38;0.96;3.95;0.27;1.98;10;0.98;10.21;1243.09;21;0.48;0.88;0.12;0;0;1;0;0;0
"W113";24.51;37.28;6.73;0.03;0.01;-0.02;0.08;0.59;0.64;4.22;19.03;2.06;9.23;550.29;21;0.43;0.17;0.02;0;0;0;0;0;1
"W128";16.02;35.67;6.63;0.05;0;5.46;0.42;1.7;0.71;0.78;27.69;2.13;13.01;579.96;22;0.485421429241553;0.816915877689562;0.128078210678211;0;0;0;0;1;0
"W130";21.19;36.73;6.99;0.32;0.01;0.02;0.05;0.71;0.32;0.17;37.11;2.75;13.49;1310.14;16;0.52;0.38;0.15;0;0;0;0;0;1
"W135";22.43;36.9;6.74;0.46;0.14;0.24;0.07;0.64;0.11;1.88;12.55;1.37;9.15;871.43;18;0.56;0.36;0.11;0;0;0;0;0;1
"W138";23.68;36.67;6.93;0.05;0.03;0.11;0.12;0.75;0.02;3.68;17.64;2.32;7.59;339.61;22;0.44;0.25;0.14;0;0;1;0;0;0
"W142";19.67;33.56;7.59;0.38;0.03;0.06;0.29;5.67;0.35;0.3;103.57;17.82;5.81;269.11;11;0.72;1.75894931318681;0.364282103925486;0;0;0;0;0;1
"W143";21.18;36.73;7.01;0.23;0.01;0.05;0.07;0.73;0.13;0.06;10.13;1.29;7.86;43.2;16;0.52;0.33;0.16;0;0;0;0;1;0
"W144";19.33;34.39;7.26;0.56;0.16;0.46;0.3;0.46;0.36;2.21;87.87;12.65;6.95;156.91;13;0.8;1.46953656256025;0.284692713903743;0;0;0;0;1;0
"W146";18.62;33.65;7.79;0.44;0;0.02;0.4;7.99;0.41;0.67;71.44;8.96;7.97;160.56;11;0.895093467643468;1.75894931318681;0.364282103925486;0;1;0;0;0;0
"W148";17.21;35.83;6.61;0.01;0.05;4.23;0.43;1.4;0.11;1.97;10.06;0.87;11.56;612.12;21;0.45;0.69;0.03;1;0;0;0;0;0
"W154";18.2;33.26;7.73;0.53;0.08;0.08;0.28;0.08;0.38;0.04;65.37;11.72;5.58;122.78;13;0.88;1.68180347985348;0.284692713903743;0;0;0;0;0;1
