"";"LONGITUDE";"LATITUDE";"PROF_ESTRATOS_CTD_M"
"W02";-41.78;-23.8;244
"W103";-43.07;-23.03;4
"W106";-42.44;-24.29;249
"W113";-41.98;-25.2;4
"W128";-46.39;-27.35;250
"W130";-45.1;-26.65;63
"W135";-44.47;-24.81;45
"W138";-42.77;-23.64;4
"W142";-47.12;-24.82;4
"W143";-45.1;-26.65;5
"W144";-46.61;-25.29;34
"W146";-47.75;-27.01;3
"W148";-41.98;-25.2;248
"W154";-46.61;-25.29;3
"W159";-45.92;-26.83;250
"W162";-43.72;-26.15;6
"W163";-43.72;-26.15;69
"W164";-43.72;-26.15;248
"W167";-42.77;-23.64;67
"W170";-41.52;-24.24;4
"W173";-46.39;-27.35;2
"W175";-41.52;-24.24;247
"W178";-45.85;-27.49;250
"W180";-45.92;-26.83;4
"W29";-44.47;-24.81;248
"W65";-47.75;-27.01;24
"W71";-41.78;-23.8;5
"W77";-43.1;-25.2;2101
"W80";-44.47;-24.81;6
"W81";-43.1;-25.2;251
"W84";-45.85;-27.49;2
"W88";-41.52;-24.24;131
"W37";-43.1;-25.2;86
"W31";-41.97;-23.47;49
"W76";-48.06;-25.72;3
"W74";-46.29;-24.25;4
"W60";-45.85;-27.49;85
"W186";-45.92;-26.83;900
"W112";-47.43;-26.05;20
"W174";-45.1;-26.65;249
"W152";-45.1;-26.65;2257
"W169";-45.1;-26.65;899
"W108";-41.98;-25.2;893
"W141";-46.43;-26.56;250
"W168";-41.98;-25.2;2076
"W156";-41.52;-24.24;888
"W200";-47.43;-26.05;3
"W109";-42.12;-23.21;4
"W104";-42.44;-24.29;4
"W122";-44.94;-23.71;5
"W69";-46.43;-26.56;4
"W44";-43.1;-25.2;3
"W40";-48.46;-26.84;4
"W85";-42.44;-24.29;889
"W160";-45.92;-26.83;139
"W166";-43.72;-26.15;2175
"W165";-43.72;-26.15;892
"W203";-44.09;-23.26;4
"W15";-43.77;-23.89;4
"W119";-42.27;-22.96;4
"W10";-43.57;-24.29;251
"W78";-45.85;-27.49;2208
"W19";-45.85;-27.49;901
"W54";-43.57;-24.29;4
